date,sum,avg,entries
8/2/14,2990487,10492.93684,285
8/3/14,3487247,10729.99077,325
8/4/14,3293326,10356.37107,318
8/5/14,2040033,9026.69469,226
8/6/14,2805704,9742.027778,288
8/7/14,2599472,9283.828571,280
8/8/14,935705,10282.47253,91
8/9/14,3099693,10196.35855,304
8/10/14,3145538,10591.03704,297
8/11/14,3113614,10448.36913,298
8/12/14,2817417,10026.39502,281
8/13/14,2641048,9107.062069,290
8/14/14,2835196,9810.366782,289
8/15/14,1476306,10042.89796,147
8/16/14,2688885,9535.053191,282
8/17/14,4804522,16624.6436,289
8/18/14,2767810,9992.093863,277
8/19/14,3147923,10423.58609,302
8/20/14,2615535,9511.036364,275
8/21/14,3021555,10005.14901,302
8/22/14,1613943,9016.441341,179
8/23/14,3123630,10309.0099,303
8/24/14,3097585,10755.50347,288
8/25/14,798047,12277.64615,65
8/26/14,2920705,10002.41438,292
8/27/14,3090506,10370.8255,298
8/28/14,2930820,9868.080808,297
8/29/14,2549406,9881.418605,258
8/30/14,2949766,9999.20678,295
8/31/14,3131999,10545.45118,297
9/1/14,1678120,11187.46667,150
9/2/14,2825406,9983.766784,283
9/3/14,2657119,9557.982014,278
9/4/14,5000,2500,2
9/5/14,2995868,9920.092715,302
9/6/14,2916915,10492.5,278
9/7/14,2927965,10096.43103,290
9/8/14,1542895,10640.65517,145
9/9/14,2596786,9048.034843,287
9/10/14,2910969,9834.35473,296
9/11/14,191975,9141.666667,21
9/12/14,2827518,10026.65957,282
9/13/14,3034137,9724.798077,312
9/14/14,3042955,10315.10169,295
9/15/14,1755580,8605.784314,204
9/16/14,2908502,10064.02076,289
9/17/14,2436497,8670.807829,281
9/18/14,625865,9203.897059,68
9/19/14,2951330,10038.53741,294
9/20/14,3022833,10177.88889,297
9/21/14,3748874,11788.91195,318
9/22/14,2744650,9767.437722,281
9/23/14,2834919,9775.582759,290
9/24/14,2756845,9441.25,292
9/25/14,1318366,8907.878378,148
9/26/14,2667341,9166.120275,291
9/27/14,2987681,10337.99654,289
9/28/14,395085,11620.14706,34
9/29/14,2694059,9386.965157,287
9/30/14,2929469,9896.85473,296
10/1/14,2792240,9695.277778,288
10/2/14,2227420,11137.1,200
10/3/14,2838859,9590.739865,296
10/4/14,2837691,9991.869718,284
10/5/14,755190,9559.367089,79
10/6/14,2853177,9606.656566,297
10/7/14,2656729,9625.82971,276
10/8/14,2522959,8790.797909,287
10/9/14,2166513,9102.995798,238
10/10/14,2913354,9678.916944,301
10/11/14,2867609,9495.39404,302
10/12/14,1713889,10579.56173,162
10/13/14,2857235,9555.9699,299
10/14/14,2460615,8514.238754,289
10/15/14,121181,8655.785714,14
10/16/14,2739241,9413.199313,291
10/17/14,2842896,9230.181818,308
10/18/14,3161470,10573.47826,299
10/19/14,2294199,10196.44,225
10/20/14,3197380,10552.40924,303
10/21/14,2594535,10056.33721,258
10/22/14,840215,9132.771739,92
10/23/14,2787979,9547.873288,292
10/24/14,2667880,8718.562092,306
10/25/14,3067861,10260.40468,299
10/26/14,2973314,10252.8069,290
10/27/14,3097672,10123.11111,306
10/28/14,3047424,9643.746835,316
10/29/14,2153529,9486.911894,227
10/30/14,2977297,9160.913846,325
10/31/14,3060305,9777.332268,313
11/1/14,1695944,9581.60452,177
11/2/14,3023224,8970.991098,337
11/3/14,3142340,9944.113924,316
11/4/14,1342056,9796.029197,137
11/5/14,2930190,9272.753165,316
11/6/14,2989808,9401.91195,318
11/7/14,770805,8759.147727,88
11/8/14,2932428,9429.028939,311
11/9/14,2922064,9247.037975,316
11/10/14,454452,15670.75862,29
11/11/14,2976268,8991.746224,331
11/12/14,2842074,8909.322884,319
11/13/14,2856907,9245.653722,309
11/14/14,2673506,8941.491639,299
11/15/14,2869655,9024.072327,318
11/16/14,2799489,9148.656863,306
11/17/14,2325333,9937.320513,234
11/18/14,2933325,9282.674051,316
11/19/14,2942332,9646.990164,305
11/20/14,1340746,8594.525641,156
11/21/14,3025139,9603.615873,315
11/22/14,2973712,9380.794953,317
11/23/14,1038890,9193.716814,113
11/24/14,3057217,9613.889937,318
11/25/14,2825779,8999.296178,314
11/26/14,512951,8549.183333,60
11/27/14,2989466,9170.141104,326
11/28/14,2898142,9000.440994,322
11/29/14,532860,8073.636364,66
11/30/14,3454807,8996.893229,384
12/1/14,3945846,9176.386047,430
12/2/14,1983973,8588.627706,231
12/3/14,3090360,9009.795918,343
12/4/14,2812043,8842.902516,318
12/5/14,1708679,8098.004739,211
12/6/14,2721846,9164.464646,297
12/7/14,3044007,9663.514286,315
12/8/14,2799994,9333.313333,300
12/9/14,2794221,8927.223642,313
12/10/14,3007122,9367.981308,321
12/11/14,2257710,8923.754941,253
12/12/14,2961746,9584.938511,309
12/13/14,2791524,9659.252595,289
12/14/14,1349825,9710.971223,139
12/15/14,2847605,8761.861538,325
12/16/14,2895055,8826.387195,328
12/17/14,1016007,8466.725,120
12/18/14,2800969,9035.383871,310
12/19/14,2637798,8734.430464,302
12/20/14,533230,10254.42308,52
12/21/14,3273990,9301.107955,352
12/22/14,2776365,8516.457055,326
12/23/14,391632,9107.72093,43
12/24/14,2862217,9115.340764,314
12/25/14,2797274,8400.222222,333
12/26/14,349732,8743.3,40
12/27/14,3323309,8838.587766,376
12/28/14,4022758,8802.533917,457
12/29/14,1564087,9837.025157,159
12/30/14,2423237,9810.676113,247
12/31/14,562571,11251.42,50
1/1/15,519322,11289.6087,46
1/2/15,517579,10562.83673,49
1/3/15,970109,12598.81818,77
1/4/15,793201,11171.84507,71
1/5/15,664067,12770.51923,52
1/6/15,713253,11144.57813,64
1/7/15,499845,11624.30233,43
1/8/15,546389,11150.79592,49
1/9/15,760460,11882.1875,64
1/10/15,697091,11815.10169,59
1/11/15,918715,13314.71014,69
1/12/15,1074852,13780.15385,78
1/13/15,497881,10593.21277,47
1/14/15,612903,11564.20755,53
1/15/15,348547,11243.45161,31
1/16/15,669958,11355.22034,59
1/17/15,752420,13436.07143,56
1/18/15,1016665,14319.22535,71
1/19/15,595079,12661.25532,47
1/20/15,840329,13338.55556,63
1/21/15,853224,16729.88235,51
1/22/15,602276,11153.25926,54
1/23/15,472582,11814.55,40
1/24/15,506685,13333.81579,38
1/25/15,646191,13462.3125,48
1/26/15,903256,18433.79592,49
1/27/15,551022,14500.57895,38
1/28/15,560330,12734.77273,44
1/29/15,464389,12551.05405,37
1/30/15,546763,9267.169492,59
1/31/15,712470,15488.47826,46
2/1/15,774046,14073.56364,55
2/2/15,579779,13176.79545,44
2/3/15,741863,11413.27692,65
2/4/15,697238,12232.24561,57
2/5/15,719219,13570.16981,53
2/6/15,631742,16624.78947,38
2/7/15,703093,14348.83673,49
2/8/15,592674,15196.76923,39
2/9/15,879499,10470.22619,84
2/10/15,659539,13190.78,50
2/11/15,534518,13362.95,40
2/12/15,565367,16153.34286,35
2/13/15,490377,15818.6129,31
2/14/15,832301,15412.98148,54
2/15/15,629920,13123.33333,48
2/16/15,496106,13055.42105,38
2/17/15,395033,12344.78125,32
2/18/15,10795,5397.5,2
2/19/15,466434,13718.64706,34
2/20/15,581742,14543.55,40
2/21/15,450000,14516.12903,31
2/22/15,615663,15016.17073,41
2/23/15,477417,14919.28125,32
2/24/15,528116,17036,31
2/25/15,463751,17836.57692,26
2/26/15,464216,14974.70968,31
2/27/15,1675153,9358.396648,179
2/28/15,733732,19830.59459,37
3/1/15,878813,18698.14894,47
3/2/15,515000,13918.91892,37
3/3/15,654619,15966.31707,41
3/4/15,195000,13928.57143,14
3/5/15,205000,15769.23077,13
3/6/15,190000,13571.42857,14
3/7/15,265000,18928.57143,14
3/8/15,538437,29913.16667,18
3/9/15,135623,12329.36364,11
3/10/15,200000,11764.70588,17
3/11/15,374316,17014.36364,22
3/12/15,403672,13455.73333,30
3/13/15,423796,16951.84,25
3/14/15,530370,16574.0625,32
3/15/15,1007170,19368.65385,52
3/16/15,685247,16315.40476,42
3/17/15,479855,14995.46875,32
3/18/15,446201,12748.6,35
3/19/15,120083,13342.55556,9
3/20/15,350576,15935.27273,22
3/21/15,699050,17476.25,40
3/22/15,791478,18406.46512,43
3/23/15,527756,15522.23529,34
3/24/15,453001,14156.28125,32
3/25/15,453602,18144.08,25
3/26/15,455589,17522.65385,26
3/27/15,555832,19166.62069,29
3/28/15,564622,15683.94444,36
